Time (s),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s)
18.45,0.60,0.20,0.63
18.60,0.00,0.80,0.80
18.75,-0.40,-0.10,0.41
18.90,2.00,0.10,2.00
19.05,0.00,-0.50,0.50
19.20,0.00,-0.60,0.60
19.35,-0.40,0.10,0.41
19.50,-0.20,-0.30,0.36
19.65,-0.60,0.20,0.63
19.80,0.50,0.00,0.50
19.95,0.00,-0.20,0.20
20.10,-0.30,0.50,0.58
20.25,0.00,-0.10,0.10
20.40,0.40,-0.20,0.45
20.55,-0.30,0.20,0.36
20.70,0.00,-0.10,0.10
20.85,0.30,0.30,0.42
21.00,-0.30,-0.20,0.36
21.15,0.00,0.20,0.20
21.30,0.10,-0.20,0.22
21.45,-0.20,0.30,0.36
21.60,0.10,-0.20,0.22
21.75,0.00,0.10,0.10
21.90,0.00,-0.10,0.10
22.05,0.20,0.00,0.20
22.20,-0.20,0.00,0.20
22.35,0.20,0.00,0.20
22.50,-0.10,0.10,0.14
22.65,0.10,-0.10,0.14
22.80,-0.10,0.00,0.10
22.95,0.10,0.00,0.10
23.10,0.00,0.00,0.00
23.25,0.00,0.00,0.00
23.40,0.00,0.00,0.00
23.55,0.00,0.00,0.00
23.70,0.00,0.00,0.00
23.85,0.00,0.00,0.00
24.00,0.00,0.00,0.00
24.16,0.00,0.00,0.00
24.31,0.00,0.00,0.00
24.46,0.00,0.00,0.00
24.61,1.80,0.00,1.80
24.76,-0.30,0.00,0.30
24.91,0.20,0.00,0.20
25.06,-0.10,0.20,0.22
25.21,0.10,-0.10,0.14
25.36,0.00,-0.10,0.10
25.51,0.00,0.10,0.10
25.66,0.10,0.00,0.10
25.81,-0.10,0.00,0.10
25.96,0.00,0.00,0.00
26.11,0.00,0.00,0.00
26.26,-0.10,0.00,0.10
26.41,0.00,0.00,0.00
26.56,0.00,0.00,0.00
26.71,0.00,0.00,0.00
26.86,0.00,0.00,0.00
27.01,0.00,0.00,0.00
27.16,0.00,0.00,0.00
27.31,0.00,0.00,0.00
27.46,0.00,0.00,0.00
27.61,0.00,0.00,0.00
27.76,0.00,0.00,0.00
27.91,0.00,0.00,0.00
28.06,0.00,0.00,0.00
28.21,0.00,0.00,0.00
28.36,0.00,0.00,0.00
28.51,0.00,0.00,0.00
28.66,0.00,0.00,0.00
28.81,0.00,0.00,0.00
28.96,0.00,0.00,0.00
29.11,0.00,0.00,0.00
29.26,0.00,0.00,0.00
29.41,0.00,0.00,0.00
29.56,0.00,0.00,0.00
29.71,0.00,0.00,0.00
29.86,0.00,0.00,0.00
30.02,0.00,0.00,0.00
